Date,ReleaseType
2025-01-10 08:30:00,NFP
2025-01-15 08:30:00,CPI
2025-01-29 14:00:00,FOMC
2025-02-07 08:30:00,NFP
2025-02-12 08:30:00,CPI
2025-03-07 08:30:00,NFP
2025-03-12 08:30:00,CPI
2025-03-19 14:00:00,FOMC
2025-04-04 08:30:00,NFP
2025-04-10 08:30:00,CPI
2025-05-02 08:30:00,NFP
2025-05-07 14:00:00,FOMC
2025-05-13 08:30:00,CPI
2025-06-06 08:30:00,NFP
2025-06-11 08:30:00,CPI
2025-06-18 14:00:00,FOMC
2025-07-03 08:30:00,NFP
2025-07-15 08:30:00,CPI
2025-07-30 14:00:00,FOMC
2025-08-01 08:30:00,NFP
2025-08-12 08:30:00,CPI
2025-09-05 08:30:00,NFP
2025-09-11 08:30:00,CPI
2025-09-17 14:00:00,FOMC
2025-10-24 08:30:00,CPI
2025-10-29 14:00:00,FOMC
2025-11-20 08:30:00,NFP
2025-12-10 14:00:00,FOMC
2025-12-16 08:30:00,NFP
2025-12-18 08:30:00,CPI
